Predicted p,Predicted U:0,Predicted U:1,Predicted U:2,Points:0,Points:1,Points:2
0.00012342776,1.3387035e-12,3.2020645e-05,-2.1367402000000002e-24,-14.25,-10.0,0
0.0001364648,0.050194584,-4.337236e-05,-9.833893e-25,-14.0,-9.3333,0
0.00015500886,-1.3979182e-13,-4.4683547e-05,-3.0269186e-23,-14.0,-10.0,0
0.00019213303,0.05022303,-0.00010991618,2.1232021e-23,-13.75,-9.3333,0
0.00015719733,1.0714398e-12,1.3138153e-05,-3.1084704e-23,-13.75,-10.0,0
0.00010580479,0.050254904,-4.8372072e-05,2.1814465e-23,-13.5,-9.3333,0
0.00020309148,-3.104593e-12,-7.934315e-06,-1.3353232e-23,-13.5,-10.0,0
0.00016752373,0.05028859,-7.306802e-05,2.5685008e-23,-13.25,-9.3333,0
0.000150585,-3.1992742e-12,2.1609787e-05,-1.0268571e-24,-13.25,-10.0,0
0.000116011855,0.050326105,-8.1061036e-05,-8.3403676e-24,-13.0,-9.3333,0
0.00015016884,2.32786e-13,3.2047203e-05,1.0630285999999999e-23,-13.0,-10.0,0
0.00016506975,0.050366152,-0.00011573295,2.9087890000000004e-23,-12.75,-9.3333,0
0.00014375789,1.9023463e-12,1.8448744e-05,-4.687727e-26,-12.75,-10.0,0
0.00013548252,0.0504107,-0.00012795893,-2.1306212e-23,-12.5,-9.3333,0
0.00015024176,-2.3266632e-12,-3.173695e-05,-6.2024157e-24,-12.5,-10.0,0
8.566547e-05,0.050457742,-0.0001204602,-2.0226646e-23,-12.25,-9.3333,0
0.00011692615,2.2824242e-12,4.1916326e-05,-2.0422334e-23,-12.25,-10.0,0
0.00017663329,0.050510354,-0.00013606217,1.5704517000000001e-24,-12.0,-9.3333,0
0.00011753416,-4.8773766e-16,-6.3343637e-06,-4.210624e-24,-12.0,-10.0,0
0.00017999469,0.050565742,-0.00010983343,-1.1553114e-23,-11.75,-9.3333,0
0.00015219225,1.0268002e-12,3.890856e-05,1.2472206000000001e-24,-11.75,-10.0,0
0.00013879813,0.050628178,-0.0001539768,-9.830242e-24,-11.5,-9.3333,0
0.000107342246,-1.4241316e-12,-2.3950677e-05,-1.7929823999999998e-23,-11.5,-10.0,0
0.00011057227,0.050692555,-0.00023431922,-1.3491314e-23,-11.25,-9.3333,0
0.0001333848,2.8005098e-12,1.4852267e-05,-2.3707731e-23,-11.25,-10.0,0
0.00017668222,0.050767723,-0.0002138518,3.3300230000000004e-23,-11.0,-9.3333,0
0.00013495317,2.000379e-12,-5.4472766e-06,-1.6588243e-23,-11.0,-10.0,0
0.000120920515,0.050840084,-0.00021911808,1.0906122e-23,-10.75,-9.3333,0
0.000113021364,-2.7292509e-12,-2.6749913e-06,-3.1976759999999998e-24,-10.75,-10.0,0
0.00010626773,0.0509353,-0.0002924327,-1.4648617e-23,-10.5,-9.3333,0
0.00010481449,-1.5226397e-12,-1.9683677e-05,-7.845394e-24,-10.5,-10.0,0
0.00014197454,0.051012937,-0.0003384416,6.973732e-24,-10.25,-9.3333,0
7.983365e-05,-2.0471298e-12,1.3923767e-05,-1.8426074e-23,-10.25,-10.0,0
0.000119672084,0.051115103,-0.00038963568,1.9007534e-23,-10.0,-9.3333,0
0.00017166506,-1.5814884e-12,-6.8476656e-06,2.366103e-24,-10.0,-10.0,0
0.00018769836,0.050001,4.731366e-05,1.9399112e-23,-24.75,-8.6667,0
0.00018300235,0.05,-2.943154e-06,-2.9802332e-23,-25.0,-8.6667,0
0.00013881043,0.050003003,1.9436702e-06,1.3569102e-23,-24.5,-8.6667,0
0.00012737405,0.050004967,-7.13573e-06,2.3260441e-23,-24.25,-8.6667,0
0.00019437414,0.05000791,2.6351336e-06,-5.8550897e-24,-24.0,-8.6667,0
0.0001263277,0.050010763,-2.0317442e-05,3.5092067e-23,-23.75,-8.6667,0
0.00019838256,0.05001396,7.147237e-05,-1.2776669e-23,-23.5,-8.6667,0
0.00021099958,0.050017353,3.4007506e-05,-3.7738904e-23,-23.25,-8.6667,0
0.0001726205,0.050020877,-1.26062805e-05,-1.1245244e-23,-23.0,-8.6667,0
